epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,46.3673,2.09546,0.31356,0.86441,1.96414,0.00021532,0.00021532,0.00021532
2,92.3196,1.79746,0.4322,0.87288,1.72167,0.000429651,0.000429651,0.000429651
3,138.034,1.49325,0.50847,0.90678,1.41243,0.000635151,0.000635151,0.000635151
4,183.477,1.22767,0.60169,0.95763,1.24675,0.000723321,0.000723321,0.000723321
5,228.983,0.99436,0.60169,0.9661,1.10674,0.000708095,0.000708095,0.000708095
6,274.544,0.85269,0.59322,0.94068,1.16454,0.000692869,0.000692869,0.000692869
7,320.067,0.68839,0.66949,0.94915,1.02616,0.000677643,0.000677643,0.000677643
8,365.998,0.58144,0.66102,0.95763,0.95248,0.000662417,0.000662417,0.000662417
9,411.67,0.56526,0.71186,0.95763,0.84365,0.00064719,0.00064719,0.00064719
10,457.553,0.47145,0.67797,0.98305,0.87208,0.000631964,0.000631964,0.000631964
11,503.501,0.44455,0.69492,0.9661,0.99578,0.000616738,0.000616738,0.000616738
12,549.258,0.41841,0.67797,0.97458,0.9023,0.000601512,0.000601512,0.000601512
13,594.957,0.38681,0.66949,0.95763,0.98021,0.000586286,0.000586286,0.000586286
14,640.42,0.33872,0.68644,0.94068,0.96832,0.000571059,0.000571059,0.000571059
15,686.092,0.27045,0.73729,0.9322,0.96617,0.000555833,0.000555833,0.000555833
16,731.533,0.31847,0.71186,0.95763,0.99259,0.000540607,0.000540607,0.000540607
17,776.929,0.27678,0.71186,0.9661,0.96091,0.000525381,0.000525381,0.000525381
18,822.504,0.25899,0.70339,0.97458,1.00918,0.000510155,0.000510155,0.000510155
19,868.155,0.2593,0.69492,0.94915,1.04104,0.000494928,0.000494928,0.000494928
20,913.56,0.20339,0.71186,0.95763,1.09726,0.000479702,0.000479702,0.000479702
21,959.211,0.19016,0.69492,0.94915,1.01334,0.000464476,0.000464476,0.000464476
22,1004.82,0.23486,0.70339,0.95763,1.01132,0.00044925,0.00044925,0.00044925
23,1050.43,0.17856,0.72881,0.94915,1.00884,0.000434024,0.000434024,0.000434024
24,1096.05,0.21518,0.72034,0.97458,1.05531,0.000418797,0.000418797,0.000418797
25,1141.62,0.21458,0.70339,0.9661,1.04392,0.000403571,0.000403571,0.000403571
26,1186.66,0.1645,0.72034,0.97458,1.07304,0.000388345,0.000388345,0.000388345
27,1232.41,0.23123,0.71186,0.95763,1.0245,0.000373119,0.000373119,0.000373119
28,1278.14,0.17481,0.67797,0.95763,1.05044,0.000357893,0.000357893,0.000357893
29,1323.42,0.15426,0.72034,0.9661,1.04081,0.000342666,0.000342666,0.000342666
30,1368.72,0.14194,0.72034,0.9661,1.05616,0.00032744,0.00032744,0.00032744
31,1414.11,0.12725,0.72034,0.95763,1.04515,0.000312214,0.000312214,0.000312214
32,1459.4,0.16979,0.71186,0.94068,1.0006,0.000296988,0.000296988,0.000296988
33,1504.57,0.16619,0.72034,0.98305,1.04819,0.000281762,0.000281762,0.000281762
34,1549.99,0.12102,0.73729,0.9661,0.96126,0.000266535,0.000266535,0.000266535
35,1595.66,0.16255,0.73729,0.98305,1.0696,0.000251309,0.000251309,0.000251309
36,1641.04,0.13376,0.74576,0.98305,1.12165,0.000236083,0.000236083,0.000236083
37,1686.58,0.1433,0.72881,0.97458,1.0733,0.000220857,0.000220857,0.000220857
38,1732.02,0.1194,0.74576,0.98305,1.00917,0.000205631,0.000205631,0.000205631
39,1777.72,0.11052,0.73729,0.98305,1.09304,0.000190404,0.000190404,0.000190404
40,1823.42,0.13764,0.72881,0.98305,1.04773,0.000175178,0.000175178,0.000175178
41,1869.35,0.1201,0.74576,0.98305,0.99568,0.000159952,0.000159952,0.000159952
42,1915.08,0.11005,0.72881,0.98305,1.03899,0.000144726,0.000144726,0.000144726
43,1960.66,0.12815,0.72034,0.97458,1.04848,0.0001295,0.0001295,0.0001295
44,2006.79,0.12378,0.71186,0.97458,1.12185,0.000114273,0.000114273,0.000114273
45,2052.5,0.15942,0.71186,0.95763,1.09044,9.90472e-05,9.90472e-05,9.90472e-05
46,2097.63,0.11415,0.71186,0.98305,1.04506,8.3821e-05,8.3821e-05,8.3821e-05
47,2143.21,0.1317,0.72881,0.98305,1.0185,6.85948e-05,6.85948e-05,6.85948e-05
48,2188.81,0.14097,0.72034,0.98305,1.13094,5.33686e-05,5.33686e-05,5.33686e-05
49,2234.14,0.1147,0.71186,0.97458,1.08786,3.81424e-05,3.81424e-05,3.81424e-05
50,2279.65,0.16034,0.70339,0.97458,1.06996,2.29162e-05,2.29162e-05,2.29162e-05
