epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,59.9269,2.07141,0.3318,0.82949,1.86487,0.00024901,0.00024901,0.00024901
2,120.445,1.7478,0.58986,0.92166,1.45118,0.000495337,0.000495337,0.000495337
3,180.367,1.46671,0.69124,0.96774,1.03902,0.000731514,0.000731514,0.000731514
4,240.097,1.15099,0.71889,0.98618,0.80696,0.000723321,0.000723321,0.000723321
5,299.876,0.91922,0.81567,0.99539,0.60522,0.000708095,0.000708095,0.000708095
6,359.866,0.76951,0.81106,0.99539,0.55783,0.000692869,0.000692869,0.000692869
7,420.191,0.6579,0.89862,1,0.41912,0.000677643,0.000677643,0.000677643
8,479.943,0.61965,0.89862,0.99539,0.3659,0.000662417,0.000662417,0.000662417
9,539.555,0.52112,0.92627,1,0.25371,0.00064719,0.00064719,0.00064719
10,599.577,0.51324,0.94009,0.99078,0.24941,0.000631964,0.000631964,0.000631964
11,659.425,0.43326,0.93088,0.99539,0.20387,0.000616738,0.000616738,0.000616738
12,719.222,0.37484,0.95853,0.99539,0.17101,0.000601512,0.000601512,0.000601512
13,778.865,0.37432,0.96313,1,0.16486,0.000586286,0.000586286,0.000586286
14,838.606,0.32571,0.94931,0.99539,0.19033,0.000571059,0.000571059,0.000571059
15,898.314,0.31291,0.96774,0.99539,0.14106,0.000555833,0.000555833,0.000555833
16,958.045,0.30132,0.96774,0.99539,0.17032,0.000540607,0.000540607,0.000540607
17,1017.6,0.28472,0.97235,0.99539,0.15959,0.000525381,0.000525381,0.000525381
18,1077.56,0.24915,0.96313,0.99539,0.14008,0.000510155,0.000510155,0.000510155
19,1138.08,0.26051,0.98157,1,0.12706,0.000494928,0.000494928,0.000494928
20,1198.17,0.21708,0.95392,1,0.12707,0.000479702,0.000479702,0.000479702
21,1258.12,0.23372,0.95853,1,0.12666,0.000464476,0.000464476,0.000464476
22,1318.03,0.22125,0.94931,1,0.14082,0.00044925,0.00044925,0.00044925
23,1377.52,0.19534,0.95392,1,0.13098,0.000434024,0.000434024,0.000434024
24,1437.33,0.20189,0.96774,1,0.11722,0.000418797,0.000418797,0.000418797
25,1496.9,0.19794,0.96313,1,0.12698,0.000403571,0.000403571,0.000403571
26,1556.61,0.19407,0.95853,1,0.14199,0.000388345,0.000388345,0.000388345
27,1616.22,0.15675,0.96774,1,0.12556,0.000373119,0.000373119,0.000373119
28,1675.92,0.15997,0.96774,1,0.11112,0.000357893,0.000357893,0.000357893
29,1736.15,0.14795,0.95853,1,0.1408,0.000342666,0.000342666,0.000342666
30,1795.73,0.15435,0.96313,0.99539,0.12724,0.00032744,0.00032744,0.00032744
31,1855.72,0.1683,0.96313,0.99539,0.11908,0.000312214,0.000312214,0.000312214
32,1915.64,0.12823,0.96774,0.99539,0.11886,0.000296988,0.000296988,0.000296988
33,1975.32,0.15889,0.97235,1,0.10926,0.000281762,0.000281762,0.000281762
34,2034.91,0.12647,0.96313,1,0.11384,0.000266535,0.000266535,0.000266535
35,2094.65,0.17656,0.96313,1,0.11103,0.000251309,0.000251309,0.000251309
36,2154.28,0.13301,0.96313,1,0.12327,0.000236083,0.000236083,0.000236083
37,2213.72,0.13844,0.97235,1,0.13836,0.000220857,0.000220857,0.000220857
38,2273.24,0.11941,0.96774,0.99539,0.137,0.000205631,0.000205631,0.000205631
39,2332.91,0.10861,0.96313,0.99539,0.15983,0.000190404,0.000190404,0.000190404
40,2392.35,0.12274,0.96313,0.99539,0.15346,0.000175178,0.000175178,0.000175178
41,2452.23,0.09711,0.96313,0.99539,0.14897,0.000159952,0.000159952,0.000159952
42,2511.95,0.13332,0.96313,0.99539,0.15294,0.000144726,0.000144726,0.000144726
43,2571.43,0.11698,0.97235,0.99539,0.13935,0.0001295,0.0001295,0.0001295
44,2630.89,0.10767,0.97235,0.99539,0.16072,0.000114273,0.000114273,0.000114273
45,2690.46,0.129,0.97235,0.99539,0.16814,9.90472e-05,9.90472e-05,9.90472e-05
46,2749.96,0.11977,0.96774,1,0.16963,8.3821e-05,8.3821e-05,8.3821e-05
47,2809.01,0.11207,0.96774,0.99539,0.15331,6.85948e-05,6.85948e-05,6.85948e-05
48,2868.62,0.11731,0.95853,0.99539,0.15975,5.33686e-05,5.33686e-05,5.33686e-05
49,2928.27,0.0947,0.95853,0.99539,0.14678,3.81424e-05,3.81424e-05,3.81424e-05
50,2988.59,0.09792,0.96313,0.99539,0.15898,2.29162e-05,2.29162e-05,2.29162e-05
